Node,Eccentricity Centrality
P1-T020,0.5
P1-T004,0.5
P1-T061,0.5
P1-T019,0.5
P1-T025,0.5
P1-T021,0.5
P1-T001,0.5
P1-T022,0.5
P1-T008,0.5
P1-T038,0.5
P1-T023,0.5
P1-T026,0.5
P1-T005,0.5
P1-T041,0.5
P1-T049,0.5
P1-T079,0.5
P1-T062,0.5
P1-T081,0.5
P1-T042,0.5
P1-T037,0.5
P1-T036,0.5
P1-T035,0.5
P1-T048,0.3333333333333333
P1-T033,0.3333333333333333
P1-T057,0.3333333333333333
